Cypriniformes コイ目
Cyprus キプロス
Cytoplasm 細胞質
Cytosine シトシン
Cytoskeleton 細胞骨格
Czechoslovakia チェコスロバキア
DNA デオキシリボ核酸
Dachshund ダックスフント
Dada ダダイスム
Daedalus ダイダロス
Dagger ダガー
Daguerreotype ダゲレオタイプ
Dahlia ダリア
Dakar ダカール
Dallas ダラス
Dalmatia ダルマチア
Dam ダム
Damascus ダマスカス
Dance ダンス
Dandelion タンポポ
Danube ドナウ川
Daphne ダプネー
Dardanelles ダーダネルス海峡
Darfur ダルフール
Darjeeling ダージリン
Darmstadtium ダームスタチウム
Darwin ダーウィン
Data データ
Database データベース
Daugavpils ダウガフピルス
David ダビデ
Day 日
Deacon 輔祭
Death 死
Decade 10年紀
December 12月
Decibel デシベル
Decimal 十進法
Declination 赤緯
Deconstruction 脱構築
Deer シカ
Definition 定義
Deflation デフレーション
Degree 度
Deism 理神論
Delaware デラウェア州
Delft デルフト
Delhi デリー
Dell デル
Delphi デルポイ
Delphinus いるか座
Delta デルタ
Demagogy デマゴーグ
Dementia 認知症
Demeter デーメーテール
Democracy 民主主義
Democritus デモクリトス
Demography 人口統計学
Demon 悪霊
Demosthenes デモステネス
Denmark デンマーク
Density 密度
Dentistry 歯科学
Denver デンバー
Derivative 微分法
Dermatology 皮膚科学
Desert 砂漠
Design デザイン
Destroyer 駆逐艦
Determinant 行列式
Determinism 決定論
Detroit デトロイト
Deuterium 重水素
Deuteronomy 申命記
Devon デヴォン
Devonian デボン紀
Dew 露
Dhaka ダッカ
Dhaulagiri ダウラギリ
Dhole ドール
Diacritic ダイアクリティカルマーク
Dialect 方言
Dialectic 弁証法
Diameter 径
Diamond ダイヤモンド
Diarrhea 下痢
Diaspora ディアスポラ
Diatom 珪藻
Dice サイコロ
Dicotyledon 双子葉植物
Dictatorship 独裁政治
Dictionary 辞典
Diesel 軽油
Diffraction 回折
Diffusion 拡散
Digestion 消化
Digital デジタル
Dijon ディジョン
Dill イノンド
Dimension 次元
Dingo ディンゴ
Dinosaur 恐竜
Diocese 教区
Diocletian ディオクレティアヌス
Diode ダイオード
Dionysus ディオニューソス
Diphtheria ジフテリア
Diphthong 二重母音
Diplodocus ディプロドクス
Diplomacy 外交
Disaccharide 二糖
Discourse ディスクール
Discrimination 差別
Disease 病気
Distance 距離
Distillation 蒸留
Divergence 発散
Divorce 離婚
Dnipropetrovsk ドニプロペトロウシク
Document 文書
Dodecahedron 正十二面体
Dodecanese ドデカネス諸島
Dodo ドードー
Dodoma ドドマ
Dog イヌ
Dogma 教義
Doha ドーハ
Dollar ドル
Dolmen 支石墓
Dolomite ドロマイト
Dolphin イルカ
Dome ドーム
Domestication 家畜化
Dominica ドミニカ国
Domitian ドミティアヌス
Donatello ドナテッロ
Donetsk ドネツィク
Donkey ロバ
Door 扉
Dopamine ドーパミン
Dorado かじき座
Dortmund ドルトムント
Douala ドゥアラ
Dracula ドラキュラ
Dragon ドラゴン
Drama ドラマ
Draughts チェッカー
Dream 夢
Dresden ドレスデン
Drink 飲料
Dromedary ヒトコブラクダ
Drought 旱魃
Druid ドルイド
Drum 太鼓
Dualism 二元論
Dubai ドバイ
Dublin ダブリン
Dubnium ドブニウム
Dubrovnik ドゥブロヴニク
Duck 鴨
Dugong ジュゴン
Duke 公爵
Dune 砂丘
Dunkirk ダンケルク
Duodenum 十二指腸
Durban ダーバン
Dushanbe ドゥシャンベ
Dynamite ダイナマイト
Dynasty 王朝
Dyslexia ディスレクシア
Dysprosium ジスプロシウム
Dystopia ディストピア
E-mail 電子メール
ETA ETA (民族組織)
Eagle 鷲
Ear 耳
Earth 地球
Earthquake 地震
East 東
Easter 復活祭
Ebola エボラ出血熱
Ebro エブロ川
Ecclesiastes コヘレトの言葉
Echidna ハリモグラ
Echinoderm 棘皮動物
Ecliptic 黄道
Ecology 生態学
Econometrics 計量経済学
Economics 経済学
Economy 経済
Ecosystem 生態系
Ecuador エクアドル
Edinburgh エディンバラ
Edirne エディルネ
Edmonton エドモントン
Edo 江戸
Education 教育
Eel ウナギ目
Eggplant ナス
Egypt エジプト
Egyptology エジプト学
Eindhoven アイントホーフェン
Einsteinium アインスタイニウム
Ejaculation 射精
Elam エラム
Elbe エルベ川
Election 選挙
Electra エーレクトラー
Electricity 電気
Electrocardiogram 心電図
Electrochemistry 電気化学
Electrolysis 電気分解
Electrolyte 電解液
Electromagnetism 電磁気学
Electron 電子
Electronegativity 電気陰性度
Electronics 電子工学
Elegy エレジー
Element エレメント
Elephant ゾウ
Elevator エレベーター
Elf エルフ
Elijah エリヤ
Ellipse 楕円
Elm ニレ
Embryo 胚
Emerald エメラルド
Emir アミール
Emoticon 顔文字
Emotion 感情
Empathy 共感
Empedocles エンペドクレス
Emperor 皇帝
Empire 帝国
Empiricism 経験論
Emu エミュー
Emulator エミュレータ
Emulsion エマルション
Encyclopedia 百科事典
Endemism 固有種
Endocrinology 内分泌学
Energy エネルギー
Engine エンジン
Engineer 技術者
Engineering 工学
England イングランド
Enthalpy エンタルピー
Entomology 昆虫学
Entropy エントロピー
Environment 環境
Enzyme 酵素
Eocene 始新世
Eos エーオース
Ephesus エフェソス
Epictetus エピクテトス
Epicurus エピクロス
Epidemic 伝染病
Epidemiology 疫学
Epigraphy 金石学
Epilepsy てんかん
Epinephrine アドレナリン
Epistemology 認識論
Epithelium 上皮細胞
Equation 方程式
Equator 赤道
Equidae ウマ科
Equinox 分点
Equisetum トクサ植物門
Erasure イレイジャー
Erato エラトー
Eratosthenes エラトステネス
Erbium エルビウム
Erebus エレボス
Erection 勃起
Ericaceae ツツジ科
Ericales ツツジ目
Erosion 侵食
Erotica エロティカ
Eschatology 終末論
Esfahan エスファハーン
Esophagus 食道
Esperanto エスペラント
Espionage スパイ
Espresso エスプレッソ
Essay 随筆
Essen エッセン
Essex エセックス
Ester エステル
Estrogen エストロゲン
Etching エッチング
Ethane エタン
Ethanol エタノール
Ethernet イーサネット
Ethics 倫理学
Ethiopia エチオピア
Ethnography 民族誌
Ethology 動物行動学
Ethylene エチレン
Etymology 語源
Eucalyptus ユーカリ
Eucharist 聖餐
Euclid エウクレイデス
Eukaryote 真核生物
Eunuch 宦官
Euphemism 婉曲法
Euphrates ユーフラテス川
Eurasia ユーラシア大陸
Euripides エウリピデス
Euro ユーロ
Europe ヨーロッパ
Europium ユウロピウム
Euterpe エウテルペー
Euthanasia 安楽死
Evanescence エヴァネッセンス
Evaporation 蒸発
Evolution 進化
Excalibur エクスカリバー
Excommunication 破門
Exhibitionism 露出狂
Existentialism 実存主義
Exodus 出エジプト記
Experiment 実験
Explosion 爆発
Exponentiation 冪乗
Expressionism 表現主義
Extinction 絶滅
Eye 目
Fabaceae マメ科
Fable 寓話
Face 顔
Fact Template: 要出典
Factorial 階乗
Factory 工場
Facula 白斑
Fado ファド
Fagales ブナ目
Fahrenheit 華氏
Fairy フェアリー
Falcon ハヤブサ属
Falconiformes タカ目
Fallacy 誤謬
Fantasy ファンタジー
Farad ファラド
Fascism ファシズム
Fashion ファッション
Fasting 断食
Fatah ファタハ
Fauna 動物相
Fauvism フォーヴィスム
Fax ファクシミリ
